# Spotify playlist "享受人生" by jayden: https://open.spotify.com/playlist/71eAiGqgoxh6exAUOg9Sri
# Read from the public playlist page on 2026-09-21. It has 477 songs; 21 were set aside (3 duplicates and 18 derivative
# versions: sped-up, DJ, Live, instrumental, female-voice or "mood" re-cuts), leaving the 456 below.
# lang: zh
# One song per line: title|artists  (artists comma-separated, exactly as Spotify shows them)
白月光与朱砂痣|大籽
Follow|梨冻紧, Wiz_H張子豪
保安日记|隊長
心之火|卢卢快闭嘴
湖泊|Joker Xue
如果这就是爱情|Jane Zhang
风夜行|蒋雪儿Snow.J
模特|Ronghao Li
一点点（为什么晚上总是有星星）|董唧唧, 芊芊龍
忘了吧|陈村长
落日与你|LBI利比
海屿你|马也_Crabbit
暗示分离|EN
說了再見|Jay Chou
爱不需要回答|王子明
一念《逐玉》|张紫宁, 李鑫一, YKeophirun
淋一场雨|LBI利比(时柏尘)
我又想你了|h3R3
小時候的我們|Eric Chou
看着我的眼睛说|张远
西楼别序|Yin Xi Mian, 小田音乐社
下坠|Corki刘宗鑫
丘比特的Moon(Moon Moon Moon）|Juggshots, Windapaper
害怕失去你|Aioz, YangYang
雾里|姚六一
纸飞机|Ryan.B
航行|蒋小呢
關鍵詞|JJ Lin
零点|KeyKey
我們的愛|F.I.R.
退後|Jay Chou
我們到底算什麼|徐暐翔
楓|Jay Chou
普通朋友|David Tao
眼淚記得你 - 電影《想見你》主題曲|Shi Shi
想和你看五月的晚霞|陳華
珊瑚海|Jay Chou, Lara Liang
雲煙霧靄|星野
写故事的人|Silence Wang
對等關係 (feat. 張惠妹)|Ronghao Li, A-Mei Chang
戀人|Ronghao Li
那就讓你忘了我吧|Xinz
我的秘密|G.E.M.
Falling Down|隊長
夏夜最后的烟火|颜人中
愛錯|Leehom Wang
Remember|PPlin 林芃逸, YangCh!ll
年轮|Silence Wang
杏花雨绵|隊長
My Dear（电视剧《难哄》重逢曲）|張洢豪
消散对白|丁禹兮
遇見|Stefanie Sun
你离开的事实|高旭, Dracooo
愛在西元前|Jay Chou
何物|Lancelot_兰斯洛
耗盡|Joker Xue, 郭聰明
猜不透|Della
天后|Andrew Tan
還愛著你|Chen Linong
命運|Jia Jia
情结|你们的好朋友大雨
終於了解自由|Eric Chou
捨不得的時刻|陳華
这是你期盼的长大吗|ZQS
甲乙丙丁Strangers|Jess Lee
親愛的那不是愛情|Angela Chang
很久以後 - 電影《可不可以，你也剛好喜歡我》主題曲|G.E.M.
記得|JJ Lin
說散就散|JC 陳詠桐
手放開|Sam Lee
演员|Joker Xue
丑八怪|Joker Xue
